source,target,weight_shared_papers,topics,papers
Kai Dong,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kai Dong,Wentao Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Kai Dong,Xingkai Yu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Kai Dong,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kai Dong,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kai Dong,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Liyue Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Runxin Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Shirong Ma,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Kang Guan,Wenfeng Liang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Xingkai Yu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Kang Guan,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Kang Guan,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Kang Guan,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Lean Wang,Liang Zhao,2,系统/效率,Native Sparse Attention；mHC
Lean Wang,Wangding Zeng,2,系统/效率,Native Sparse Attention；mHC
Lean Wang,Wenfeng Liang,2,系统/效率,Native Sparse Attention；mHC
Lean Wang,Yuqing Wang,2,系统/效率,Native Sparse Attention；mHC
Lean Wang,Zhenda Xie,2,系统/效率,Native Sparse Attention；mHC
Lean Wang,Zhengyan Zhang,2,系统/效率,Native Sparse Attention；mHC
Liang Zhao,Wangding Zeng,2,系统/效率,Native Sparse Attention；mHC
Liang Zhao,Wenfeng Liang,2,系统/效率,Native Sparse Attention；mHC
Liang Zhao,Yuqing Wang,2,系统/效率,Native Sparse Attention；mHC
Liang Zhao,Zhengyan Zhang,2,系统/效率,Native Sparse Attention；mHC
Liyue Zhang,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Runxin Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Shunfeng Zhou,2,主模型、系统/效率,DeepSeek LLM；DualPath
Liyue Zhang,Wanjia Zhao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Liyue Zhang,Wentao Zhang,2,主模型、系统/效率,DeepSeek LLM；DualPath
Liyue Zhang,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Xuan Lu,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Liyue Zhang,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Liyue Zhang,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Yu Wu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Yukun Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Z. F. Wu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Liyue Zhang,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Liyue Zhang,Zhe Fu,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V2
Liyue Zhang,Zhenda Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Liyue Zhang,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Mingchuan Zhang,Peiyi Wang,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Mingchuan Zhang,Qihao Zhu,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Mingchuan Zhang,Runxin Xu,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Mingchuan Zhang,Xiao Bi,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Mingchuan Zhang,Yu Wu,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Mingchuan Zhang,Yukun Li,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Mingchuan Zhang,Zhihong Shao,2,主模型、数学/证明,DeepSeek LLM；DeepSeekMath
Panpan Huang,Runxin Xu,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Panpan Huang,Shirong Ma,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Panpan Huang,Shunfeng Zhou,2,主模型、系统/效率,DeepSeek LLM；DualPath
Panpan Huang,Wentao Zhang,2,主模型、系统/效率,DeepSeek LLM；DualPath
Panpan Huang,Xingkai Yu,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Panpan Huang,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Panpan Huang,Yu Wu,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Panpan Huang,Yukun Li,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Panpan Huang,Yuxuan Liu,2,系统/效率,DualPath；Insights into DeepSeek-V3
Panpan Huang,Zhenda Xie,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Peiyi Wang,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Peiyi Wang,Wenfeng Liang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Peiyi Wang,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Peiyi Wang,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Peiyi Wang,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Peiyi Wang,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Peiyi Wang,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Peiyi Wang,Zhenda Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Peiyi Wang,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qihao Zhu,Wanjia Zhao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Qihao Zhu,Wentao Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Qihao Zhu,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qihao Zhu,Xuan Lu,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Qihao Zhu,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qihao Zhu,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qihao Zhu,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qihao Zhu,Z. F. Wu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Qihao Zhu,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Qihao Zhu,Zhe Fu,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V2
Qihao Zhu,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qinyu Chen,Wangding Zeng,2,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2
Qinyu Chen,Wenfeng Liang,2,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2
Qinyu Chen,Yukun Li,2,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2
Qinyu Chen,Zhenda Xie,2,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2
Qinyu Chen,Zhewen Hao,2,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2
Qiushi Du,Runxin Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Shirong Ma,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Wenfeng Liang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Xuan Lu,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Qiushi Du,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Yu Wu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Yukun Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Zhenda Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Qiushi Du,Zhibin Gou,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Runxin Xu,Wangding Zeng,2,代码、系统/效率,DeepSeek-Coder-V2；DeepSeekMoE
Runxin Xu,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Runxin Xu,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Runxin Xu,Xingkai Yu,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Runxin Xu,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Runxin Xu,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Runxin Xu,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Runxin Xu,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Shangyan Zhou,Shirong Ma,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Shangyan Zhou,Shunfeng Zhou,2,主模型、系统/效率,DeepSeek LLM；DualPath
Shangyan Zhou,Wentao Zhang,2,主模型、系统/效率,DeepSeek LLM；DualPath
Shangyan Zhou,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Shangyan Zhou,Yuqing Wang,2,系统/效率,Insights into DeepSeek-V3；mHC
Shangyan Zhou,Yuxuan Liu,2,系统/效率,DualPath；Insights into DeepSeek-V3
Shangyan Zhou,Zhenda Xie,2,主模型、系统/效率,DeepSeek LLM；mHC
Shirong Ma,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Shirong Ma,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Shirong Ma,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Shirong Ma,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Shirong Ma,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Shirong Ma,Yukun Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Shirong Ma,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Shirong Ma,Yuxuan Liu,2,数学/证明、系统/效率,DeepSeek-Prover-V2；Insights into DeepSeek-V3
Shirong Ma,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V2；DeepSeekMath-V2
Shirong Ma,Zhe Fu,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V2
Shirong Ma,Zhenda Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Shirong Ma,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Shunfeng Zhou,Wentao Zhang,2,主模型、系统/效率,DeepSeek LLM；DualPath
Tongzheng Ren,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Tongzheng Ren,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Tongzheng Ren,Zhenda Xie,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Wangding Zeng,Xingkai Yu,2,系统/效率,Conditional Memory；DeepSeekMoE
Wangding Zeng,Yu Wu,2,代码、系统/效率,DeepSeek-Coder-V2；DeepSeekMoE
Wangding Zeng,Yuqing Wang,2,系统/效率,Native Sparse Attention；mHC
Wangding Zeng,Zhengyan Zhang,2,系统/效率,Native Sparse Attention；mHC
Wangding Zeng,Zhewen Hao,2,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2
Wanjia Zhao,Wenjun Gao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Wanjia Zhao,Z. F. Wu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Wanjia Zhao,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Wanjia Zhao,Zhibin Gou,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Wanjia Zhao,Zhihong Shao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Wen Liu,Xin Xie,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Wen Liu,Yishi Piao,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Wen Liu,Yiyang Ma,2,多模态,DeepSeek-VL2；Janus
Wen Liu,Yu Wu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Wen Liu,Yukun Li,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Wen Liu,Yuxiang You,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Wenfeng Liang,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenfeng Liang,Wentao Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Wenfeng Liang,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenfeng Liang,Y. X. Wei,2,系统/效率,Insights into DeepSeek-V3；Native Sparse Attention
Wenfeng Liang,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenfeng Liang,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Wenfeng Liang,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenfeng Liang,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenfeng Liang,Zhengyan Zhang,2,系统/效率,Native Sparse Attention；mHC
Wenfeng Liang,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Xuan Lu,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Wenjun Gao,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Yu Wu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Yukun Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Z. F. Wu,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Wenjun Gao,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Wenjun Gao,Zhe Fu,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V2
Wenjun Gao,Zhenda Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Wentao Zhang,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Wentao Zhang,Yu Wu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Wentao Zhang,Yukun Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Wentao Zhang,Zhenda Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder
Xiao Bi,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Xiao Bi,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Xiao Bi,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Xiao Bi,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Xiao Bi,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Xiaokang Chen,Yiyang Ma,2,多模态,DeepSeek-VL2；Janus
Xin Xie,Xingkai Yu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Xin Xie,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Xin Xie,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Xin Xie,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Xin Xie,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Xingchao Liu,Yiyang Ma,2,多模态,DeepSeek-VL2；Janus
Xingkai Yu,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Xingkai Yu,Yishi Piao,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Xingkai Yu,Yiyang Ma,2,多模态,DeepSeek-VL2；Janus
Xingkai Yu,Yuxiang You,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Xingkai Yu,Zhewen Hao,2,主模型、系统/效率,Conditional Memory；DeepSeek LLM
Xuan Lu,Zhibin Gou,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Xuan Lu,Zhihong Shao,2,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Y. X. Wei,Yuqing Wang,2,系统/效率,Insights into DeepSeek-V3；Native Sparse Attention
Yaofeng Sun,Yishi Piao,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Yaofeng Sun,Yu Wu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Yaofeng Sun,Yuxiang You,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Yaohui Wang,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yaohui Wang,Yu Wu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yaohui Wang,Yukun Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yaohui Wang,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yaohui Wang,Zhenda Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yaohui Wang,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yaohui Wang,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yishi Piao,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yishi Piao,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yiyang Ma,Zhenda Xie,2,多模态,DeepSeek-VL2；Janus
Yiyang Ma,Zhiyu Wu,2,多模态,DeepSeek-VL2；Janus
Yiyang Ma,Zizheng Pan,2,多模态,DeepSeek-VL2；Janus
Yu Wu,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yuqing Wang,Zhenda Xie,2,系统/效率,Native Sparse Attention；mHC
Yuqing Wang,Zhengyan Zhang,2,系统/效率,Native Sparse Attention；mHC
Yuxiang You,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Yuxiang You,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Z. F. Wu,Z. Z. Ren,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Z. F. Wu,Zhibin Gou,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Z. F. Wu,Zhihong Shao,2,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Zhe Fu,Zhihong Shao,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V2
Zhenda Xie,Zhengyan Zhang,2,系统/效率,Native Sparse Attention；mHC
Zhenda Xie,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Zhewen Hao,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
